Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,6.8,$808.37M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
MMM,3M Company,158.71,$91.29B,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/mmm
WBAI,500.com Limited,3.79,$162.97M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,54.93,$8.24B,2013,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/wuba
EGHT,8x8 Inc,16.71,$1.73B,n/a,Technology,EDP Services,https://old.nasdaq.com/symbol/eght
AHC,A.H. Belo Corporation,1.72,$36.83M,n/a,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc
AOS,A.O Smith Corporation,51.02,$8.22B,n/a,Consumer Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/aos
ATEN,"A10 Networks, Inc.",7.37,$565.92M,2014,Technology,Computer Communications Equipment,https://old.nasdaq.com/symbol/aten
AIR,AAR Corp.,19.01,$667.26M,n/a,Capital Goods,Aerospace,https://old.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",44.43,$3B,n/a,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan
ABB,ABB Ltd,26.2,$55.9B,n/a,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,100.19,$177.22B,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,97.7,$172.18B,2012,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,9.97,$621.89M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/anf
AGD,Aberdeen Global Dynamic Dividend Fund,9.17,$115.08M,2006,n/a,n/a,https://old.nasdaq.com/symbol/agd
AWP,Aberdeen Global Premier Properties Fund,4.74,$404.83M,2007,n/a,n/a,https://old.nasdaq.com/symbol/awp
ACP,Aberdeen Income Credit Strategies Fund,9.83,$171.36M,2011,n/a,n/a,https://old.nasdaq.com/symbol/acp
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.67,$102.84M,1992,n/a,n/a,https://old.nasdaq.com/symbol/jeq
AOD,Aberdeen Total Dynamic Dividend Fund,7.91,$833.96M,2007,n/a,n/a,https://old.nasdaq.com/symbol/aod
ABM,ABM Industries Incorporated,35.59,$2.37B,n/a,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,12.16,$1.05B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/akr
ACEL,"Accel Entertainment, Inc.",8.81,$690.51M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel
ACN,Accenture plc,224.23,$142.79B,2001,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,6.86,$648.01M,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",17.1807,$44.34M,2007,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/atv
