guid;stock;title;summary;published;p_date;sentiment_summary;sentiment_title
fa6b63c0-aa21-3759-a828-e61032396d03;AAPL;"Dow Jones Futures: Three Cheers For Coronavirus Stock Market Rally&#39;s &#39;Bad Week&#39;; Apple, Amazon, AMD Lead Earnings Flood";The stock market rally had a down week, but there were several reasons to be positive. Apple, Amazon, AMD earnings loom, along with dozens of other top companies.;Sat, 25 Jul 2020 16:57:28 +0000;AAPL_2020-07-25;0.7783;0.5859
6a792f3f-f77e-3de9-a959-24af67c0e012;AAPL;Congress has a million-plus documents from Big Tech antitrust investigation, and are ready to grill big-name CEOs;For more than a year, the federal government has circled Big Tech and its business practices. On Wednesday, members of the House of Representatives will roll out evidence their staffs have found and put pressure directly on some of the most prominent executives in the world.;Sat, 25 Jul 2020 16:35:00 +0000;AAPL_2020-07-25;0.10099999999999999;0.3612
9b85aa52-3ba8-35f5-bf3e-708a1747b208;AAPL;U.S. House panel reschedules Big Tech CEO hearing for Wednesday;A congressional hearing on digital marketplace competition featuring the chief executives of four of the largest American tech companies has been rescheduled for Wednesday, a House subcommittee said on Saturday.  The CEOs of Facebook, Amazon.com, Alphabet's Google and Apple were to have testified on Monday before the House Antitrust Subcommittee.  All four tech company CEOs - Jeff Bezos of Amazon, Tim Cook of Apple, Sundar Pichai of Alphabet and Mark Zuckerberg of Facebook - are to appear virtually, the announcement said.;Sat, 25 Jul 2020 16:00:38 +0000;AAPL_2020-07-25;0.1779;0.0
65b53896-faf4-3a06-9d0d-a63cf3c83192;AAPL;"Dow Jones Stocks To Buy And Watch In July 2020: Nike, Visa; Pfizer; Intel Dives On Earnings";The Dow Jones Industrial Average finished the second quarter of 2020 with sharp gains, as the stock market continues to rebound. Top Dow Jones stocks to watch in July are Intel, Nike and Visa. Meanwhile, Pfizer is trying to break out above a new buy point on a coronavirus vaccine deal with the U.;Sat, 25 Jul 2020 14:34:33 +0000;AAPL_2020-07-25;0.4939;0.0
4968ab8c-1821-3052-9b99-5e07c2dc4c02;AAPL;Could This Chinese Upstart Be the Next Apple?;Apple reports earnings this week, but this Chinese smartphone company has a similar business model and is posting better growth during the coronavirus pandemic.;Sat, 25 Jul 2020 13:00:00 +0000;AAPL_2020-07-25;0.8047;0.0
549987b3-7bfa-328a-bc37-daeb57f0566a;AAPL;These 3 Robinhood Investor Favorites Are Actually Great Stocks;From what you've heard in the news, you might get the idea that investors who use the Robinhood trading app don't stand a chance of making money.  It's true that some day traders use Robinhood as their platform, and some of their favorite stock picks leave much to be desired.  In fact, among the top half-dozen stocks on Robinhood's popularity list are three strong businesses that have seen their shares soar over the long run.;Sat, 25 Jul 2020 12:30:00 +0000;AAPL_2020-07-25;0.9367;0.7845
e147c622-a22a-3cf4-a393-f453907be3cf;AAPL;Intel ‘Stunning Failure’ Heralds End of Era for U.S. Chip Sector;(Bloomberg) -- Intel Corp.’s decision to consider outsourcing manufacturing heralds the end of an era in which the company, and the U.S., dominated the semiconductor industry. The move could reverberate well beyond Silicon Valley, influencing global trade and geopolitics.The Santa Clara, California-based company has been the largest chipmaker for most of the past 30 years by combining the best designs with cutting-edge factories, several of which are still based in the U.S.Most other U.S. chip companies shut or sold domestic plants years ago, and had other firms make the components, mostly in Asia. Intel held out, arguing that doing both improved each side of its operation and created better semiconductors. That strategy is in tatters now, with the company’s factories struggling to keep up with the latest 7-nanometer production process.After Chief Executive Officer Bob Swan said Intel is considering outsourcing, the company’s shares slumped 16% on Friday, the most since March, when the stock market plummeted in the early days of the Covid-19 pandemic.“We view the roadmap missteps to be a stunning failure for a company once known for flawless execution, and could well represent the end of Intel’s computing dominance,” Chris Caso, an analyst at Raymond James, wrote in a research note on Friday.Swan says where a semiconductor is made isn’t that important. However, domestic chip production has become a national priority for China, and some U.S. politicians and national-security experts consider sending this technical knowhow overseas to be a potentially dangerous mistake.“We’ve seen how vulnerable we are,” John Cornyn, a top Senate Republican, said in June when U.S. lawmakers proposed an estimated $25 billion in funding and tax credits to strengthen domestic semiconductor production.Intel’s Xeon chips run computers and data centers that support the design of nuclear power stations, spacecraft and jets, while helping governments quickly understand intelligence and other crucial information.Many of these processors are made at facilities in Oregon, Arizona and New Mexico. If Intel outsources this work, it would likely be done by Taiwan Semiconductor Manufacturing Co., which focuses on production and is currently the world leader. It’s based in Hsinchu, one of the closest Taiwanese cities to China, which considers the Asian island a rogue province rather than an independent country.“With the latest push out of process technology, we believe that Intel has zero-to-no chance of catching or surpassing TSMC at least for the next half decade, if not ever,” Susquehanna analyst Chris Rolland wrote in a research note. He thinks Intel should sell its plants to TSMC, although he says that’s unlikely.Over the years, Intel has spent tens of billions of dollars updating its factories, and all of Swan’s predecessors touted them as a crucial advantage that kept the company ahead of the rest of the industry. As the largest chip producer, Intel benefited from economies of scale and attracted the most experienced engineers and scientists.The rise of smartphones and other mobile devices changed all that. Intel dabbled in mobile chips, but never committed its best production and design to the area, preferring to prioritize its existing PC and server chip businesses. When smartphone sales took off, phone makers used other processors from companies like Qualcomm Inc. or they designed their own, like Apple Inc. And TSMC factories churned these components out.While Intel makes hundreds of millions of chips a year now, TSMC produces more than a billion annually. That’s given the Taiwanese company more experience to improve its factories, helping TSMC’s engineers overtake their Intel counterparts in technical execution.Read more: Intel’s Chipmaking Throne Is Challenged by Taiwanese UpstartSwan said on Friday that Intel’s products are still the best, despite the manufacturing delays. But by opening the door to outsourcing, the CEO endangers one of the last bastions of U.S. technology leadership.“By outsourcing leading edge technology, presumably to TSMC, Intel would give up what has been its main source of competitive advantage for 50 years,” Caso of Raymond James said.For more articles like this, please visit us at bloomberg.comSubscribe now to stay ahead with the most trusted business news source.©2020 Bloomberg L.P.;Sat, 25 Jul 2020 03:07:11 +0000;AAPL_2020-07-25;0.9948;0.0
2a0cc6e0-aaae-3675-b519-89847bfaaa50;AAPL;Coastal Office Markets Face a Reckoning;The work-from-home trend bodes especially poorly for expensive coastal cities. Plus, market newsletter commentary on the dollar’s drop, MMT, and the grim outlook for value investing.;Sat, 25 Jul 2020 02:44:00 +0000;AAPL_2020-07-25;-0.5267;0.0
05c5251a-4d37-390f-998a-bd6f8511597a;AAPL;Even as Indy Goes Autonomous, the Race to True Self-Driving Has Been Long;In 2021 university teams will compete in an autonomous-car race at Indianapolis Motor Speedway. It’s a reminder how difficult the technology behind autonomous driving is.;Sat, 25 Jul 2020 00:07:00 +0000;AAPL_2020-07-25;-0.3612;0.4215
82f6d5a8-cb26-3c4f-8c7d-b510dd3eec13;AAPL;Buffett Adds to His Hefty Stake in Bank of America;The Berkshire Hathaway CEO takes advantage of a beaten-down valuation to buy more BofA shares, lifting his position to over 10%.;Fri, 24 Jul 2020 23:42:00 +0000;AAPL_2020-07-24;0.539;0.0
